date,asn,is_up_and_open,ixp,as_name,type,method,count_of_as,total_nets,total_discarded_nets,total_nets_without_discards
2022-05-01 00:00:00,101,S,us-sea,Pacific Northwest Gigapop,asy_out,asy24,1,7,0,7
2022-05-01 00:00:00,10242,S,us-sea,US Internet,sym,asy24,1,256,0,256
2022-05-01 00:00:00,10310,,nl-ams,Yahoo! Europe Ltd,sym,asy24,1,86,2,84
2022-05-01 00:00:00,10310,S,br-gru,Yahoo!-v4,asy_in,asy24,1,86,79,7
2022-05-01 00:00:00,10362,S,br-gru,UBIK,sym,asy24,1,2,0,2
2022-05-01 00:00:00,10474,S,uk-lnd,Internet Solutions T/A Optinet,sym,asy24,1,1145,0,1145
2022-05-01 00:00:00,10594,S,us-sea,Cutting Edge Communications,sym,asy24,1,37,0,37
2022-05-01 00:00:00,10733,S,br-gru,Matrix,sym,asy24,1,36,0,36
2022-05-01 00:00:00,10906,S,br-poa,b.dns.br anycast - Nic.br,asy_out,asy24,1,2,0,2
2022-05-01 00:00:00,10906,S,br-gru,NICbr_Anycast_AS10906,asy_out,asy24,1,2,0,2
2022-05-01 00:00:00,10947,S,us-sea,Mountain West Technologies,sym,asy24,1,18,0,18
2022-05-01 00:00:00,10954,S,br-gru,SERPRO,asy_in,asy24,1,28,0,28
2022-05-01 00:00:00,10973,S,us-sea,TENKAL,sym,asy24,1,4,0,4
2022-05-01 00:00:00,1101,S,nl-ams,SURF B.V.,sym,asy24,1,37,0,37
2022-05-01 00:00:00,11014,S,br-gru,Metrotel,sym,asy24,1,129,0,129
2022-05-01 00:00:00,11019,S,br-gru,"",Sem Redes na Amostra,asy24,1,,,
2022-05-01 00:00:00,11046,S,us-sea,Little Apple Technologies,sym,asy24,1,3,0,3
2022-05-01 00:00:00,11090,S,us-sea,Matanuska Telephone Assoc,sym,asy24,1,66,0,66
2022-05-01 00:00:00,11179,S,nl-ams,Aryaka Networks  Inc.,Híbrido,asy24,1,64,47,17
2022-05-01 00:00:00,112,,nl-ams,"",Sem Redes na Amostra,asy24,1,,,
2022-05-01 00:00:00,11233,S,us-sea,Gorge Networks,sym,asy24,1,32,0,32
2022-05-01 00:00:00,1126,S,nl-ams,Vancis B.V.,sym,asy24,1,20,0,20
2022-05-01 00:00:00,11274,S,us-sea,TierPoint,sym,asy24,1,66,0,66
2022-05-01 00:00:00,11284,S,br-gru,NICbr_Anycast_AS11284,sym,asy24,1,1,0,1
2022-05-01 00:00:00,11338,S,br-gru,SKY_Banda_Larga,asy_in,asy24,1,12,0,12
2022-05-01 00:00:00,1140,,nl-ams,SIDN,sym,asy24,1,5,0,5
2022-05-01 00:00:00,11432,S,br-poa,Telium,asy_out,asy24,1,114,0,114
2022-05-01 00:00:00,11432,S,br-gru,Telium,sym,asy24,1,114,0,114
2022-05-01 00:00:00,11644,S,br-gru,"",Sem Redes na Amostra,asy24,1,,,
2022-05-01 00:00:00,11644,S,br-poa,"",Sem Redes na Amostra,asy24,1,,,
2022-05-01 00:00:00,11686,S,us-sea,Education Networks of America,asy_out,asy24,1,350,15,335
2022-05-01 00:00:00,11751,S,br-gru,ICEP,asy_out,asy24,1,4,1,3
2022-05-01 00:00:00,11796,S,us-sea,Airstream Communications,sym,asy24,1,305,0,305
2022-05-01 00:00:00,11835,S,br-gru,SulInternet-S2-v4,sym,asy24,1,74,1,73
2022-05-01 00:00:00,11844,S,br-gru,Ole_Telecom,sym,asy24,1,52,0,52
2022-05-01 00:00:00,11922,S,us-sea,RealNetworks  Inc.,sym,asy24,1,7,0,7
2022-05-01 00:00:00,11924,S,us-sea,Montana Opticom LLC,sym,asy24,1,30,0,30
2022-05-01 00:00:00,12041,S,nl-ams,"",Sem Redes na Amostra,asy24,1,,,
2022-05-01 00:00:00,12136,S,br-gru,E.DNS.BR,asy_out,asy24,1,2,1,1
2022-05-01 00:00:00,12189,S,nl-ams,phoenixNAP EU B.V.,asy_in,asy24,1,10,6,4
2022-05-01 00:00:00,12200,S,uk-lnd,Rackspace Managed Hosting,sym,asy24,1,4,1,3
2022-05-01 00:00:00,12290,S,uk-lnd,Exonetric,sym,asy24,1,6,0,6
2022-05-01 00:00:00,12329,S,nl-ams,TMR Telekommunikation Mittleres Ruhrgebiet GmbH,sym,asy24,1,33,0,33
2022-05-01 00:00:00,12355,S,nl-ams,HeLi NET Telekommunikation GmbH & Co. KG,sym,asy24,1,110,0,110
2022-05-01 00:00:00,12399,S,nl-ams,ScanPlus Gmbh,sym,asy24,1,80,0,80
2022-05-01 00:00:00,12399,S,uk-lnd,ScanPlus Gmbh,sym,asy24,1,80,0,80
2022-05-01 00:00:00,1241,,nl-ams,Forthnet S.A.,sym,asy24,1,609,0,609
2022-05-01 00:00:00,12414,S,nl-ams,Solcon Internetdiensten B.V.,sym,asy24,1,467,0,467
2022-05-01 00:00:00,12440,S,uk-lnd,Hughes Network Systems Ltd,sym,asy24,1,31,0,31
2022-05-01 00:00:00,1248,S,nl-ams,HERE Global BV,sym,asy24,1,14,0,14
2022-05-01 00:00:00,1248,S,uk-lnd,HERE Gobal BV,sym,asy24,1,14,0,14
2022-05-01 00:00:00,12488,S,uk-lnd,Krystal Hosting Ltd,sym,asy24,1,35,2,33
2022-05-01 00:00:00,12496,S,uk-lnd,IDNet,sym,asy24,1,47,0,47
2022-05-01 00:00:00,12519,S,uk-lnd,FastNet International Ltd,sym,asy24,1,83,0,83
2022-05-01 00:00:00,12552,,nl-ams,IP-Only Networks,sym,asy24,1,1143,2,1141
2022-05-01 00:00:00,12578,S,nl-ams,Lattelecom SIA,sym,asy24,1,1169,0,1169
2022-05-01 00:00:00,12637,S,nl-ams,Seeweb s.r.l.,sym,asy24,1,185,0,185
2022-05-01 00:00:00,1267,S,uk-lnd,Wind International Services S. p. A.,sym,asy24,1,1812,0,1812
2022-05-01 00:00:00,1267,S,nl-ams,Wind Tre S.P.A.,sym,asy24,1,1811,0,1811
2022-05-01 00:00:00,12693,S,nl-ams,e.discom Telekommunikation GmbH,sym,asy24,1,128,0,128
2022-05-01 00:00:00,12695,S,nl-ams,LLC Digital Network,sym,asy24,1,334,0,334
2022-05-01 00:00:00,12713,S,nl-ams,OTE International Solutions S.A.,sym,asy24,1,7,0,7
2022-05-01 00:00:00,12713,S,uk-lnd,OTEGlobe S.A.,sym,asy24,1,7,0,7
2022-05-01 00:00:00,12714,S,nl-ams,NetByNet,sym,asy24,1,1153,0,1153
2022-05-01 00:00:00,12731,S,nl-ams,IPHH Internet Port Hamburg GmbH,sym,asy24,1,31,0,31
