date,asn,ixp,as_name,type,method,count_of_as,total_nets,total_discarded_nets,total_nets_without_discards
2022-05-01 00:00:00,101,us-sea,Pacific Northwest Gigapop,asy_out,any23,1,7,0,7
2022-05-01 00:00:00,101,us-sea,Pacific Northwest Gigapop,asy_out,any24,1,7,0,7
2022-05-01 00:00:00,101,us-sea,Pacific Northwest Gigapop,asy_out,asy23,1,7,0,7
2022-05-01 00:00:00,101,us-sea,Pacific Northwest Gigapop,asy_out,asy24,1,7,0,7
2022-05-01 00:00:00,10242,us-sea,US Internet,sym,any23,1,256,0,256
2022-05-01 00:00:00,10242,us-sea,US Internet,sym,any24,1,256,0,256
2022-05-01 00:00:00,10242,us-sea,US Internet,sym,asy23,1,256,0,256
2022-05-01 00:00:00,10242,us-sea,US Internet,sym,asy24,1,256,0,256
2022-05-01 00:00:00,10310,nl-ams,Yahoo! Europe Ltd,sym,any23,1,88,2,86
2022-05-01 00:00:00,10310,nl-ams,Yahoo! Europe Ltd,sym,any24,1,88,2,86
2022-05-01 00:00:00,10310,nl-ams,Yahoo! Europe Ltd,sym,asy23,1,86,2,84
2022-05-01 00:00:00,10310,nl-ams,Yahoo! Europe Ltd,sym,asy24,1,86,2,84
2022-05-01 00:00:00,10310,br-gru,Yahoo!-v4,asy_in,any23,1,88,81,7
2022-05-01 00:00:00,10310,br-gru,Yahoo!-v4,asy_in,any24,1,88,81,7
2022-05-01 00:00:00,10310,br-gru,Yahoo!-v4,asy_in,asy23,1,86,79,7
2022-05-01 00:00:00,10310,br-gru,Yahoo!-v4,asy_in,asy24,1,86,79,7
2022-05-01 00:00:00,10362,br-gru,UBIK,sym,any23,1,2,0,2
2022-05-01 00:00:00,10362,br-gru,UBIK,sym,any24,1,2,0,2
2022-05-01 00:00:00,10362,br-gru,UBIK,sym,asy23,1,2,0,2
2022-05-01 00:00:00,10362,br-gru,UBIK,sym,asy24,1,2,0,2
2022-05-01 00:00:00,10474,uk-lnd,Internet Solutions T/A Optinet,sym,any23,1,1141,0,1141
2022-05-01 00:00:00,10474,uk-lnd,Internet Solutions T/A Optinet,sym,any24,1,1145,0,1145
2022-05-01 00:00:00,10474,uk-lnd,Internet Solutions T/A Optinet,sym,asy23,1,1141,0,1141
2022-05-01 00:00:00,10474,uk-lnd,Internet Solutions T/A Optinet,sym,asy24,1,1145,0,1145
2022-05-01 00:00:00,10594,us-sea,Cutting Edge Communications,sym,any23,1,36,0,36
2022-05-01 00:00:00,10594,us-sea,Cutting Edge Communications,sym,any24,1,37,0,37
2022-05-01 00:00:00,10594,us-sea,Cutting Edge Communications,sym,asy23,1,36,0,36
2022-05-01 00:00:00,10594,us-sea,Cutting Edge Communications,sym,asy24,1,37,0,37
2022-05-01 00:00:00,10733,br-gru,Matrix,sym,any23,1,36,0,36
2022-05-01 00:00:00,10733,br-gru,Matrix,sym,any24,1,36,0,36
2022-05-01 00:00:00,10733,br-gru,Matrix,sym,asy23,1,36,0,36
2022-05-01 00:00:00,10733,br-gru,Matrix,sym,asy24,1,36,0,36
2022-05-01 00:00:00,10906,br-poa,b.dns.br anycast - Nic.br,asy_out,any23,1,2,0,2
2022-05-01 00:00:00,10906,br-poa,b.dns.br anycast - Nic.br,asy_out,any24,1,2,0,2
2022-05-01 00:00:00,10906,br-poa,b.dns.br anycast - Nic.br,asy_out,asy23,1,2,0,2
2022-05-01 00:00:00,10906,br-poa,b.dns.br anycast - Nic.br,asy_out,asy24,1,2,0,2
2022-05-01 00:00:00,10906,br-gru,NICbr_Anycast_AS10906,asy_out,any23,1,2,0,2
2022-05-01 00:00:00,10906,br-gru,NICbr_Anycast_AS10906,asy_out,any24,1,2,0,2
2022-05-01 00:00:00,10906,br-gru,NICbr_Anycast_AS10906,asy_out,asy23,1,2,0,2
2022-05-01 00:00:00,10906,br-gru,NICbr_Anycast_AS10906,asy_out,asy24,1,2,0,2
2022-05-01 00:00:00,10947,us-sea,Mountain West Technologies,sym,any23,1,18,0,18
2022-05-01 00:00:00,10947,us-sea,Mountain West Technologies,sym,any24,1,18,0,18
2022-05-01 00:00:00,10947,us-sea,Mountain West Technologies,sym,asy23,1,18,0,18
2022-05-01 00:00:00,10947,us-sea,Mountain West Technologies,sym,asy24,1,18,0,18
2022-05-01 00:00:00,10954,br-gru,SERPRO,asy_in,any23,1,29,1,28
2022-05-01 00:00:00,10954,br-gru,SERPRO,asy_in,any24,1,28,0,28
2022-05-01 00:00:00,10954,br-gru,SERPRO,asy_in,asy23,1,29,1,28
2022-05-01 00:00:00,10954,br-gru,SERPRO,asy_in,asy24,1,28,0,28
2022-05-01 00:00:00,10973,us-sea,TENKAL,sym,any23,1,4,0,4
2022-05-01 00:00:00,10973,us-sea,TENKAL,sym,any24,1,4,0,4
