date,method,ixp,nei_net24,nei_net23,nei_asn24,nei_asn23,qt_net_sym24,qt_net_sym23,qt_net_asy24_in,qt_net_asy23_in,qt_net_asy24_out,qt_net_asy23_out,qt_asn_sym24,qt_asn_sym23,qt_asn_asy24_in,qt_asn_asy23_in,qt_asn_asy24_out,qt_asn_asy23_out,qt_asn_hib24,qt_asn_hib23,qt_asn_onlydiscard24,qt_asn_onlydiscard23,qt_asn_nonetworks24,qt_asn_nonetworks23
2022-05-05 00:00:00,any23,amsix,,88532,,474,,56656,,1873,,30003,,281,,15,,140,,13,,5,,20
2022-05-05 00:00:00,any24,amsix,92590,,474,,73852,,5981,,12757,,379,,19,,39,,12,,4,,21,
2022-05-05 00:00:00,asy23,amsix,,86010,,474,,54460,,1866,,29684,,282,,15,,132,,14,,6,,25
2022-05-05 00:00:00,asy24,amsix,90064,,474,,71640,,5970,,12454,,380,,19,,31,,13,,5,,26,
2022-05-05 00:00:00,exc23,amsix,,77570,,474,,71577,,5993,,0,,405,,22,,,,4,,,,43
2022-05-05 00:00:00,exc24,amsix,77820,,474,,71861,,5959,,0,,403,,21,,,,4,,,,46,
2022-05-05 00:00:00,any23,linx,,63960,,442,,49578,,1628,,12754,,278,,16,,105,,11,,10,,22
2022-05-05 00:00:00,any24,linx,64536,,442,,59464,,2309,,2763,,338,,23,,40,,11,,8,,22,
2022-05-05 00:00:00,asy23,linx,,61543,,442,,47391,,1590,,12562,,278,,15,,99,,13,,11,,26
2022-05-05 00:00:00,asy24,linx,62111,,442,,57258,,2263,,2590,,339,,22,,35,,11,,9,,26,
2022-05-05 00:00:00,exc23,linx,,59543,,442,,57314,,2229,,0,,365,,23,,,,,,,,54
2022-05-05 00:00:00,exc24,linx,59583,,442,,57337,,2246,,0,,360,,23,,,,2,,,,57,
2022-05-05 00:00:00,any23,poaixbr,,7940,,217,,6047,,76,,1817,,178,,2,,18,,2,,1,,16
2022-05-05 00:00:00,any24,poaixbr,7953,,217,,6284,,84,,1585,,187,,3,,9,,2,,1,,15,
2022-05-05 00:00:00,asy23,poaixbr,,7937,,217,,6047,,76,,1814,,178,,2,,16,,2,,1,,18
2022-05-05 00:00:00,asy24,poaixbr,7950,,217,,6284,,84,,1582,,187,,3,,7,,2,,1,,17,
2022-05-05 00:00:00,exc23,poaixbr,,6380,,217,,6295,,85,,0,,191,,4,,,,,,,,22
2022-05-05 00:00:00,exc24,poaixbr,6364,,217,,6280,,84,,0,,192,,3,,,,,,,,22,
2022-05-05 00:00:00,any23,six,,31101,,204,,28114,,2050,,937,,133,,19,,27,,3,,6,,16
2022-05-05 00:00:00,any24,six,31461,,204,,28531,,2420,,510,,140,,19,,16,,4,,9,,16,
2022-05-05 00:00:00,asy23,six,,28843,,204,,26028,,2024,,791,,136,,20,,22,,3,,6,,17
2022-05-05 00:00:00,asy24,six,29201,,204,,26418,,2392,,391,,144,,19,,11,,4,,9,,17,
2022-05-05 00:00:00,exc23,six,,27773,,204,,25370,,2403,,0,,150,,24,,,,1,,,,29
2022-05-05 00:00:00,exc24,six,28840,,204,,26434,,2406,,0,,150,,24,,,,1,,,,29,
2022-05-05 00:00:00,any23,spoixbr,,37187,,1875,,31686,,309,,5192,,1408,,16,,180,,15,,29,,227
2022-05-05 00:00:00,any24,spoixbr,37656,,1875,,32583,,644,,4429,,1461,,22,,122,,15,,27,,228,
2022-05-05 00:00:00,asy23,spoixbr,,34777,,1875,,29471,,284,,5022,,1405,,16,,174,,16,,30,,234
2022-05-05 00:00:00,asy24,spoixbr,35230,,1875,,30367,,601,,4262,,1458,,22,,115,,17,,28,,235,
2022-05-05 00:00:00,exc23,spoixbr,,30779,,1875,,30168,,611,,0,,1494,,25,,,,4,,,,352
2022-05-05 00:00:00,exc24,spoixbr,31010,,1875,,30400,,610,,0,,1504,,24,,,,4,,,,343,
2022-05-04 00:00:00,any23,amsix,,88447,,473,,56751,,1868,,29828,,282,,14,,140,,12,,5,,20
2022-05-04 00:00:00,any24,amsix,92619,,473,,73622,,5981,,13016,,380,,19,,38,,12,,4,,20,
2022-05-04 00:00:00,asy23,amsix,,85927,,473,,54555,,1862,,29510,,283,,14,,132,,13,,6,,25
2022-05-04 00:00:00,asy24,amsix,90093,,473,,71412,,5970,,12711,,381,,19,,30,,13,,5,,25,
2022-05-04 00:00:00,exc23,amsix,,77786,,473,,71790,,5996,,0,,403,,23,,,,4,,,,43
2022-05-04 00:00:00,exc24,amsix,77667,,473,,71701,,5966,,0,,402,,23,,,,3,,,,45,
2022-05-04 00:00:00,any23,linx,,67622,,443,,50745,,4115,,12762,,277,,16,,108,,11,,9,,22
2022-05-04 00:00:00,any24,linx,68293,,443,,60332,,4803,,3158,,340,,23,,40,,12,,7,,21,
2022-05-04 00:00:00,asy23,linx,,65203,,443,,48559,,4075,,12569,,278,,15,,102,,12,,10,,26
2022-05-04 00:00:00,asy24,linx,65871,,443,,58129,,4758,,2984,,342,,22,,35,,11,,8,,25,
2022-05-04 00:00:00,exc23,linx,,63497,,443,,58695,,4802,,0,,363,,24,,,,2,,,,54
2022-05-04 00:00:00,exc24,linx,63333,,443,,58570,,4763,,0,,361,,23,,,,2,,,,57,
2022-05-04 00:00:00,any23,poaixbr,,7956,,220,,6074,,77,,1805,,181,,2,,17,,2,,1,,17
2022-05-04 00:00:00,any24,poaixbr,7976,,220,,6299,,85,,1592,,189,,3,,9,,2,,1,,16,
2022-05-04 00:00:00,asy23,poaixbr,,7953,,220,,6074,,77,,1802,,181,,2,,15,,2,,1,,19
2022-05-04 00:00:00,asy24,poaixbr,7973,,220,,6299,,85,,1589,,189,,3,,7,,2,,1,,18,
2022-05-04 00:00:00,exc23,poaixbr,,6383,,220,,6298,,85,,0,,193,,4,,,,,,,,23
2022-05-04 00:00:00,exc24,poaixbr,6386,,220,,6301,,85,,0,,194,,4,,,,,,,,22,
2022-05-04 00:00:00,any23,six,,33604,,205,,29110,,1098,,3396,,121,,11,,47,,6,,4,,16
2022-05-04 00:00:00,any24,six,33557,,205,,29671,,1181,,2705,,135,,11,,33,,6,,4,,16,
2022-05-04 00:00:00,asy23,six,,31283,,205,,27019,,1074,,3190,,122,,11,,42,,9,,4,,17
2022-05-04 00:00:00,asy24,six,31235,,205,,27552,,1156,,2527,,136,,11,,28,,9,,4,,17,
2022-05-04 00:00:00,exc23,six,,28825,,205,,27674,,1151,,0,,159,,16,,,,1,,,,29
2022-05-04 00:00:00,exc24,six,28792,,205,,27636,,1156,,0,,158,,16,,,,1,,,,30,
2022-05-04 00:00:00,any23,spoixbr,,37399,,1885,,32131,,316,,4952,,1420,,19,,181,,14,,29,,222
2022-05-04 00:00:00,any24,spoixbr,37664,,1885,,32263,,641,,4760,,1470,,21,,121,,13,,27,,233,
2022-05-04 00:00:00,asy23,spoixbr,,34991,,1885,,29918,,292,,4781,,1418,,19,,174,,15,,30,,229
2022-05-04 00:00:00,asy24,spoixbr,35236,,1885,,30048,,598,,4590,,1467,,21,,114,,15,,28,,240,
2022-05-04 00:00:00,exc23,spoixbr,,31192,,1885,,30588,,604,,0,,1496,,25,,,,3,,,,361
2022-05-04 00:00:00,exc24,spoixbr,30963,,1885,,30357,,606,,0,,1513,,25,,,,3,,,,344,
2022-05-03 00:00:00,any23,amsix,,88264,,475,,56470,,1890,,29904,,280,,17,,141,,13,,5,,19
2022-05-03 00:00:00,any24,amsix,92478,,475,,73414,,6007,,13057,,380,,21,,39,,12,,4,,19,
2022-05-03 00:00:00,asy23,amsix,,85743,,475,,54272,,1883,,29588,,281,,17,,133,,14,,6,,24
2022-05-03 00:00:00,asy24,amsix,89953,,475,,71202,,5996,,12755,,381,,21,,31,,13,,5,,24,
2022-05-03 00:00:00,exc23,amsix,,77425,,475,,71429,,5996,,0,,400,,24,,,,5,,,,46
2022-05-03 00:00:00,exc24,amsix,77508,,475,,71565,,5943,,0,,402,,24,,,,4,,,,45,
2022-05-03 00:00:00,any23,linx,,67640,,442,,51098,,3810,,12732,,278,,17,,106,,12,,9,,20
2022-05-03 00:00:00,any24,linx,68342,,442,,61143,,4500,,2699,,338,,24,,41,,12,,7,,20,
2022-05-03 00:00:00,asy23,linx,,65223,,442,,48911,,3773,,12539,,279,,16,,100,,13,,10,,24
2022-05-03 00:00:00,asy24,linx,65918,,442,,58936,,4455,,2527,,340,,23,,36,,11,,8,,24,
2022-05-03 00:00:00,exc23,linx,,63562,,442,,59032,,4530,,0,,363,,25,,,,1,,,,53
2022-05-03 00:00:00,exc24,linx,63331,,442,,58883,,4448,,0,,361,,24,,,,1,,,,56,
2022-05-03 00:00:00,any23,poaixbr,,7938,,221,,6065,,76,,1797,,183,,2,,17,,2,,1,,16
2022-05-03 00:00:00,any24,poaixbr,7965,,221,,6290,,83,,1592,,190,,3,,9,,2,,1,,16,
2022-05-03 00:00:00,asy23,poaixbr,,7935,,221,,6065,,76,,1794,,183,,2,,15,,2,,1,,18
2022-05-03 00:00:00,asy24,poaixbr,7962,,221,,6290,,83,,1589,,190,,3,,7,,2,,1,,18,
2022-05-03 00:00:00,exc23,poaixbr,,6359,,221,,6275,,84,,0,,194,,4,,,,,,,,23
2022-05-03 00:00:00,exc24,poaixbr,6331,,221,,6247,,84,,0,,195,,4,,,,,,,,22,
2022-05-03 00:00:00,any23,six,,33557,,205,,29190,,1096,,3271,,123,,11,,46,,6,,3,,16
2022-05-03 00:00:00,any24,six,33564,,205,,29713,,1177,,2674,,136,,11,,33,,6,,3,,16,
2022-05-03 00:00:00,asy23,six,,31238,,205,,27103,,1072,,3063,,124,,11,,41,,9,,3,,17
2022-05-03 00:00:00,asy24,six,31241,,205,,27593,,1152,,2496,,137,,11,,28,,9,,3,,17,
2022-05-03 00:00:00,exc23,six,,28003,,205,,26847,,1156,,0,,158,,16,,,,1,,,,30
2022-05-03 00:00:00,exc24,six,28848,,205,,27693,,1155,,0,,159,,16,,,,1,,,,29,
2022-05-03 00:00:00,any23,spoixbr,,37083,,1884,,28935,,3358,,4790,,1411,,19,,183,,14,,30,,227
2022-05-03 00:00:00,any24,spoixbr,35260,,1884,,30117,,672,,4471,,1471,,21,,121,,13,,29,,229,
2022-05-03 00:00:00,asy23,spoixbr,,34674,,1884,,26721,,3333,,4620,,1409,,19,,176,,15,,31,,234
2022-05-03 00:00:00,asy24,spoixbr,32832,,1884,,27900,,629,,4303,,1468,,21,,114,,15,,30,,236,
2022-05-03 00:00:00,exc23,spoixbr,,31438,,1884,,27785,,3653,,0,,1503,,28,,,,3,,,,350
2022-05-03 00:00:00,exc24,spoixbr,31657,,1884,,28008,,3649,,0,,1515,,28,,,,3,,,,338,
2022-05-02 00:00:00,any23,amsix,,88521,,475,,56046,,1890,,30585,,283,,17,,139,,12,,5,,19
2022-05-02 00:00:00,any24,amsix,92491,,475,,73961,,6006,,12524,,380,,21,,39,,12,,4,,19,
2022-05-02 00:00:00,asy23,amsix,,85999,,475,,53850,,1883,,30266,,284,,17,,131,,13,,6,,24
2022-05-02 00:00:00,asy24,amsix,89962,,475,,71746,,5995,,12221,,381,,21,,31,,13,,5,,24,
2022-05-02 00:00:00,exc23,amsix,,77411,,475,,71385,,6026,,0,,405,,23,,,,5,,,,42
2022-05-02 00:00:00,exc24,amsix,77681,,475,,71673,,6008,,0,,404,,23,,,,4,,,,44,
2022-05-02 00:00:00,full23,amsix,,658771,,601,,272580,,120742,,265449,,368,,23,,188,,18,,8,,
2022-05-02 00:00:00,full24,amsix,796007,,601,,439090,,178249,,178668,,504,,31,,45,,18,,7,,,
2022-05-02 00:00:00,any23,linx,,66278,,442,,49794,,3587,,12897,,276,,18,,107,,11,,9,,21
