date,method,ixp,nei_net24,nei_net23,nei_asn24,nei_asn23,qt_net_sym24,qt_net_sym23,qt_net_asy24_in,qt_net_asy23_in,qt_net_asy24_out,qt_net_asy23_out,qt_asn_sym24,qt_asn_sym23,qt_asn_asy24_in,qt_asn_asy23_in,qt_asn_asy24_out,qt_asn_asy23_out,qt_asn_hib24,qt_asn_hib23,qt_asn_onlydiscard24,qt_asn_onlydiscard23,qt_asn_nonetworks24,qt_asn_nonetworks23
2022-05-05 00:00:00,asy23,amsix,,86010,,474,,54460,,1866,,29684,,271,,12,,124,,36,,6,,25
2022-05-05 00:00:00,asy24,amsix,90064,,474,,71640,,5970,,12454,,365,,14,,30,,34,,5,,26,
2022-05-05 00:00:00,asy23,linx,,61543,,442,,47391,,1590,,12562,,267,,10,,96,,32,,11,,26
2022-05-05 00:00:00,asy24,linx,62111,,442,,57258,,2263,,2590,,321,,18,,33,,35,,9,,26,
2022-05-05 00:00:00,asy23,poaixbr,,7937,,217,,6047,,76,,1814,,176,,2,,16,,4,,1,,18
2022-05-05 00:00:00,asy24,poaixbr,7950,,217,,6284,,84,,1582,,186,,2,,7,,4,,1,,17,
2022-05-05 00:00:00,asy23,six,,28843,,204,,26028,,2024,,791,,130,,15,,22,,14,,6,,17
2022-05-05 00:00:00,asy24,six,29201,,204,,26418,,2392,,391,,134,,14,,11,,19,,9,,17,
2022-05-05 00:00:00,asy23,spoixbr,,34777,,1875,,29471,,284,,5022,,1391,,13,,171,,36,,30,,234
2022-05-05 00:00:00,asy24,spoixbr,35230,,1875,,30367,,601,,4262,,1447,,18,,112,,35,,28,,235,
2022-05-04 00:00:00,asy23,amsix,,85927,,473,,54555,,1862,,29510,,272,,11,,124,,35,,6,,25
2022-05-04 00:00:00,asy24,amsix,90093,,473,,71412,,5970,,12711,,367,,14,,29,,33,,5,,25,
2022-05-04 00:00:00,asy23,linx,,65203,,443,,48559,,4075,,12569,,265,,10,,99,,33,,10,,26
2022-05-04 00:00:00,asy24,linx,65871,,443,,58129,,4758,,2984,,325,,18,,33,,34,,8,,25,
2022-05-04 00:00:00,asy23,poaixbr,,7953,,220,,6074,,77,,1802,,178,,2,,15,,5,,1,,19
2022-05-04 00:00:00,asy24,poaixbr,7973,,220,,6299,,85,,1589,,188,,2,,7,,4,,1,,18,
2022-05-04 00:00:00,asy23,six,,31283,,205,,27019,,1074,,3190,,119,,7,,39,,19,,4,,17
2022-05-04 00:00:00,asy24,six,31235,,205,,27552,,1156,,2527,,129,,7,,23,,25,,4,,17,
2022-05-04 00:00:00,asy23,spoixbr,,34991,,1885,,29918,,292,,4781,,1404,,14,,170,,38,,30,,229
2022-05-04 00:00:00,asy24,spoixbr,35236,,1885,,30048,,598,,4590,,1454,,16,,111,,36,,28,,240,
2022-05-03 00:00:00,asy23,amsix,,85743,,475,,54272,,1883,,29588,,272,,13,,126,,34,,6,,24
2022-05-03 00:00:00,asy24,amsix,89953,,475,,71202,,5996,,12755,,370,,15,,29,,32,,5,,24,
2022-05-03 00:00:00,asy23,linx,,65223,,442,,48911,,3773,,12539,,267,,10,,97,,34,,10,,24
2022-05-03 00:00:00,asy24,linx,65918,,442,,58936,,4455,,2527,,322,,18,,34,,36,,8,,24,
2022-05-03 00:00:00,asy23,poaixbr,,7935,,221,,6065,,76,,1794,,180,,2,,15,,5,,1,,18
2022-05-03 00:00:00,asy24,poaixbr,7962,,221,,6290,,83,,1589,,189,,2,,7,,4,,1,,18,
2022-05-03 00:00:00,asy23,six,,31238,,205,,27103,,1072,,3063,,121,,7,,38,,19,,3,,17
2022-05-03 00:00:00,asy24,six,31241,,205,,27593,,1152,,2496,,130,,7,,22,,26,,3,,17,
2022-05-03 00:00:00,asy23,spoixbr,,34674,,1884,,26721,,3333,,4620,,1393,,17,,171,,38,,31,,234
2022-05-03 00:00:00,asy24,spoixbr,32832,,1884,,27900,,629,,4303,,1456,,18,,111,,33,,30,,236,
2022-05-02 00:00:00,asy23,amsix,,85999,,475,,53850,,1883,,30266,,274,,13,,124,,34,,6,,24
2022-05-02 00:00:00,asy24,amsix,89962,,475,,71746,,5995,,12221,,369,,15,,30,,32,,5,,24,
2022-05-02 00:00:00,asy23,linx,,63889,,442,,47635,,3551,,12703,,264,,10,,97,,36,,10,,25
2022-05-02 00:00:00,asy24,linx,66112,,442,,59076,,4527,,2509,,323,,18,,33,,36,,8,,24,
2022-05-02 00:00:00,asy23,poaixbr,,7942,,221,,6062,,76,,1804,,181,,2,,15,,5,,1,,17
2022-05-02 00:00:00,asy24,poaixbr,7964,,221,,6295,,84,,1585,,189,,2,,7,,4,,1,,18,
2022-05-02 00:00:00,asy23,six,,31282,,205,,27165,,1072,,3045,,119,,8,,38,,19,,4,,17
2022-05-02 00:00:00,asy24,six,31262,,205,,27674,,1152,,2436,,128,,8,,23,,25,,4,,17,
2022-05-02 00:00:00,asy23,spoixbr,,35010,,1884,,30005,,282,,4723,,1395,,13,,171,,38,,30,,237
2022-05-02 00:00:00,asy24,spoixbr,36017,,1884,,31206,,603,,4208,,1448,,17,,111,,34,,29,,245,
2022-05-01 00:00:00,asy23,amsix,,85977,,474,,54462,,1880,,29635,,272,,13,,128,,32,,6,,23
2022-05-01 00:00:00,asy24,amsix,90137,,474,,71895,,5999,,12243,,370,,16,,31,,29,,5,,23,
2022-05-01 00:00:00,asy23,linx,,65362,,443,,48890,,3789,,12683,,266,,9,,101,,34,,10,,23
2022-05-01 00:00:00,asy24,linx,66142,,443,,59117,,4477,,2548,,325,,17,,34,,36,,8,,23,
2022-05-01 00:00:00,asy23,poaixbr,,7878,,221,,6003,,76,,1799,,180,,2,,15,,5,,1,,18
2022-05-01 00:00:00,asy24,poaixbr,7917,,221,,6249,,84,,1584,,190,,2,,7,,4,,1,,17,
2022-05-01 00:00:00,asy23,six,,31301,,205,,26467,,1072,,3762,,119,,8,,37,,19,,4,,18
2022-05-01 00:00:00,asy24,six,31286,,205,,27724,,1156,,2406,,129,,8,,22,,24,,4,,18,
2022-05-01 00:00:00,asy23,spoixbr,,34963,,1888,,29906,,301,,4756,,1399,,15,,172,,41,,31,,230
2022-05-01 00:00:00,asy24,spoixbr,35288,,1888,,30465,,609,,4214,,1456,,18,,113,,35,,29,,237,
2022-04-30 00:00:00,asy23,amsix,,86296,,474,,54718,,1891,,29687,,275,,12,,127,,31,,6,,23
2022-04-30 00:00:00,asy24,amsix,88563,,474,,70813,,5900,,11850,,371,,14,,32,,29,,5,,23,
2022-04-30 00:00:00,asy23,linx,,65406,,442,,49011,,3797,,12598,,267,,10,,98,,34,,10,,23
2022-04-30 00:00:00,asy24,linx,65070,,442,,58386,,4351,,2333,,323,,18,,32,,37,,8,,24,
2022-04-30 00:00:00,asy23,poaixbr,,7997,,221,,6123,,75,,1799,,180,,2,,15,,5,,1,,18
2022-04-30 00:00:00,asy24,poaixbr,7992,,221,,6322,,84,,1586,,190,,2,,7,,4,,1,,17,
2022-04-30 00:00:00,asy23,six,,31311,,205,,27129,,1071,,3111,,119,,8,,37,,18,,5,,18
2022-04-30 00:00:00,asy24,six,31118,,205,,27646,,1149,,2323,,128,,8,,21,,25,,5,,18,
2022-04-30 00:00:00,asy23,spoixbr,,34963,,1879,,29895,,298,,4770,,1396,,15,,173,,36,,30,,229
2022-04-30 00:00:00,asy24,spoixbr,35402,,1879,,30570,,613,,4219,,1451,,18,,116,,34,,28,,232,
2022-04-29 00:00:00,asy23,amsix,,86000,,476,,53969,,1885,,30146,,274,,13,,126,,33,,6,,24
2022-04-29 00:00:00,asy24,amsix,90467,,476,,71590,,6011,,12866,,371,,15,,30,,31,,5,,24,
2022-04-29 00:00:00,asy23,linx,,65445,,442,,48840,,3825,,12780,,266,,9,,97,,36,,10,,24
2022-04-29 00:00:00,asy24,linx,66155,,442,,58617,,4490,,3048,,323,,17,,33,,37,,8,,24,
2022-04-29 00:00:00,asy23,poaixbr,,7903,,218,,6096,,75,,1732,,180,,2,,13,,5,,1,,17
2022-04-29 00:00:00,asy24,poaixbr,7964,,218,,6295,,84,,1585,,187,,2,,7,,4,,1,,17,
2022-04-29 00:00:00,asy23,six,,31324,,205,,27177,,1076,,3071,,119,,8,,36,,19,,5,,18
2022-04-29 00:00:00,asy24,six,31382,,205,,27435,,1156,,2791,,129,,8,,21,,24,,5,,18,
2022-04-29 00:00:00,asy23,spoixbr,,35113,,1879,,30016,,306,,4791,,1391,,16,,172,,37,,30,,233
2022-04-29 00:00:00,asy24,spoixbr,35439,,1879,,30035,,618,,4786,,1451,,19,,115,,33,,28,,233,
2022-04-28 00:00:00,asy23,amsix,,75867,,469,,53685,,1886,,20296,,279,,11,,110,,35,,6,,28
2022-04-28 00:00:00,asy24,amsix,88136,,469,,69923,,5925,,12288,,366,,13,,28,,34,,5,,23,
2022-04-28 00:00:00,asy23,linx,,64785,,441,,48834,,3831,,12120,,267,,8,,95,,37,,11,,23
2022-04-28 00:00:00,asy24,linx,65488,,441,,58417,,4529,,2542,,322,,18,,33,,36,,8,,24,
2022-04-28 00:00:00,asy23,poaixbr,,7912,,209,,6082,,75,,1755,,172,,2,,14,,5,,1,,15
2022-04-28 00:00:00,asy24,poaixbr,7901,,209,,6234,,82,,1585,,179,,2,,7,,4,,1,,16,
2022-04-28 00:00:00,asy23,six,,31341,,205,,27182,,1064,,3095,,119,,7,,37,,19,,5,,18
2022-04-28 00:00:00,asy24,six,31432,,205,,27716,,1136,,2580,,128,,7,,25,,22,,5,,18,
2022-04-28 00:00:00,asy23,spoixbr,,34984,,1883,,29935,,294,,4755,,1398,,15,,172,,36,,30,,232
2022-04-28 00:00:00,asy24,spoixbr,35327,,1883,,29947,,611,,4769,,1456,,17,,113,,35,,28,,234,
2022-04-27 00:00:00,asy23,amsix,,84615,,469,,53861,,1821,,28933,,268,,11,,124,,37,,6,,23
2022-04-27 00:00:00,asy24,amsix,88464,,469,,70763,,5931,,11770,,365,,14,,28,,34,,5,,23,
2022-04-27 00:00:00,asy23,linx,,64262,,438,,48276,,3928,,12058,,265,,9,,96,,33,,12,,23
2022-04-27 00:00:00,asy24,linx,64884,,438,,57512,,4606,,2766,,320,,16,,32,,36,,11,,23,
2022-04-27 00:00:00,asy23,poaixbr,,7900,,222,,6063,,75,,1762,,184,,2,,14,,5,,1,,16
2022-04-27 00:00:00,asy24,poaixbr,7836,,222,,6160,,83,,1593,,192,,2,,7,,4,,1,,16,
2022-04-27 00:00:00,asy23,six,,31370,,204,,27220,,1066,,3084,,117,,7,,38,,19,,5,,18
2022-04-27 00:00:00,asy24,six,31326,,204,,27772,,1132,,2422,,127,,7,,24,,23,,5,,18,
2022-04-27 00:00:00,asy23,spoixbr,,34939,,1880,,29893,,284,,4762,,1382,,14,,185,,36,,32,,231
2022-04-27 00:00:00,asy24,spoixbr,35179,,1880,,30465,,579,,4135,,1450,,18,,115,,32,,29,,236,
2022-04-26 00:00:00,asy23,amsix,,86355,,470,,54545,,1854,,29956,,272,,12,,125,,32,,5,,24
2022-04-26 00:00:00,asy24,amsix,90561,,470,,72102,,5968,,12491,,371,,14,,27,,30,,4,,24,
2022-04-26 00:00:00,asy23,linx,,65373,,439,,49425,,3958,,11990,,264,,8,,97,,35,,11,,24
2022-04-26 00:00:00,asy24,linx,66047,,439,,58652,,4639,,2756,,322,,16,,33,,35,,9,,24,
2022-04-26 00:00:00,asy23,poaixbr,,7887,,220,,6059,,75,,1753,,182,,2,,14,,5,,1,,16
2022-04-26 00:00:00,asy24,poaixbr,7861,,220,,6198,,82,,1581,,189,,2,,7,,4,,1,,17,
2022-04-26 00:00:00,asy23,six,,31270,,204,,27037,,1061,,3172,,116,,7,,38,,19,,6,,18
2022-04-26 00:00:00,asy24,six,31272,,204,,27065,,1155,,3052,,126,,8,,22,,24,,6,,18,
2022-04-26 00:00:00,asy23,spoixbr,,34814,,1879,,29692,,289,,4833,,1398,,13,,177,,38,,32,,221
2022-04-26 00:00:00,asy24,spoixbr,35289,,1879,,30076,,604,,4609,,1460,,17,,116,,32,,28,,226,
2022-04-25 00:00:00,asy23,amsix,,86241,,471,,53998,,1841,,30402,,272,,12,,126,,32,,5,,24
2022-04-25 00:00:00,asy24,amsix,90373,,471,,71514,,5963,,12896,,370,,14,,29,,30,,4,,24,
2022-04-25 00:00:00,asy23,linx,,65357,,439,,47943,,3948,,13466,,267,,8,,95,,36,,11,,22
2022-04-25 00:00:00,asy24,linx,66169,,439,,58422,,4668,,3079,,324,,16,,33,,33,,9,,24,
2022-04-25 00:00:00,asy23,poaixbr,,7976,,221,,6144,,74,,1758,,184,,2,,14,,5,,1,,15
2022-04-25 00:00:00,asy24,poaixbr,7981,,221,,6305,,83,,1593,,190,,2,,7,,4,,1,,17,
