date,method,ixp,nei_net24,nei_net23,nei_asn24,nei_asn23,qt_net_sym24,qt_net_sym23,qt_net_asy24_in,qt_net_asy23_in,qt_net_asy24_out,qt_net_asy23_out,qt_asn_sym24,qt_asn_sym23,qt_asn_asy24_in,qt_asn_asy23_in,qt_asn_asy24_out,qt_asn_asy23_out,qt_asn_hib24,qt_asn_hib23,qt_asn_onlydiscard24,qt_asn_onlydiscard23,qt_asn_nonetworks24,qt_asn_nonetworks23
2022-05-05 00:00:00,asy23,amsix,,86010,,474,,54460,,1866,,29684,,197,,2,,87,,157,,31,,
2022-05-05 00:00:00,asy24,amsix,90064,,474,,71640,,5970,,12454,,276,,3,,16,,148,,31,,,
2022-05-05 00:00:00,asy23,linx,,61543,,442,,47391,,1590,,12562,,187,,5,,76,,137,,37,,
2022-05-05 00:00:00,asy24,linx,62111,,442,,57258,,2263,,2590,,227,,7,,23,,150,,35,,,
2022-05-05 00:00:00,asy23,poaixbr,,7937,,217,,6047,,76,,1814,,160,,2,,9,,27,,19,,
2022-05-05 00:00:00,asy24,poaixbr,7950,,217,,6284,,84,,1582,,173,,2,,3,,21,,18,,,
2022-05-05 00:00:00,asy23,six,,28843,,204,,26028,,2024,,791,,94,,9,,11,,67,,23,,
2022-05-05 00:00:00,asy24,six,29201,,204,,26418,,2392,,391,,102,,8,,6,,62,,26,,,
2022-05-05 00:00:00,asy23,spoixbr,,34777,,1875,,29471,,284,,5022,,1312,,10,,127,,162,,264,,
2022-05-05 00:00:00,asy24,spoixbr,35230,,1875,,30367,,601,,4262,,1371,,13,,76,,152,,263,,,
2022-05-04 00:00:00,asy23,amsix,,85927,,473,,54555,,1862,,29510,,198,,2,,86,,156,,31,,
2022-05-04 00:00:00,asy24,amsix,90093,,473,,71412,,5970,,12711,,274,,3,,15,,151,,30,,,
2022-05-04 00:00:00,asy23,linx,,65203,,443,,48559,,4075,,12569,,189,,6,,78,,134,,36,,
2022-05-04 00:00:00,asy24,linx,65871,,443,,58129,,4758,,2984,,230,,8,,23,,149,,33,,,
2022-05-04 00:00:00,asy23,poaixbr,,7953,,220,,6074,,77,,1802,,162,,2,,9,,27,,20,,
2022-05-04 00:00:00,asy24,poaixbr,7973,,220,,6299,,85,,1589,,175,,2,,3,,21,,19,,,
2022-05-04 00:00:00,asy23,six,,31283,,205,,27019,,1074,,3190,,89,,3,,16,,76,,21,,
2022-05-04 00:00:00,asy24,six,31235,,205,,27552,,1156,,2527,,99,,3,,10,,72,,21,,,
2022-05-04 00:00:00,asy23,spoixbr,,34991,,1885,,29918,,292,,4781,,1323,,10,,129,,164,,259,,
2022-05-04 00:00:00,asy24,spoixbr,35236,,1885,,30048,,598,,4590,,1377,,12,,76,,152,,268,,,
2022-05-03 00:00:00,asy23,amsix,,85743,,475,,54272,,1883,,29588,,195,,2,,87,,161,,30,,
2022-05-03 00:00:00,asy24,amsix,89953,,475,,71202,,5996,,12755,,277,,3,,14,,152,,29,,,
2022-05-03 00:00:00,asy23,linx,,65223,,442,,48911,,3773,,12539,,190,,6,,76,,136,,34,,
2022-05-03 00:00:00,asy24,linx,65918,,442,,58936,,4455,,2527,,229,,8,,24,,149,,32,,,
2022-05-03 00:00:00,asy23,poaixbr,,7935,,221,,6065,,76,,1794,,165,,2,,8,,27,,19,,
2022-05-03 00:00:00,asy24,poaixbr,7962,,221,,6290,,83,,1589,,176,,2,,3,,21,,19,,,
2022-05-03 00:00:00,asy23,six,,31238,,205,,27103,,1072,,3063,,91,,3,,15,,76,,20,,
2022-05-03 00:00:00,asy24,six,31241,,205,,27593,,1152,,2496,,101,,3,,9,,72,,20,,,
2022-05-03 00:00:00,asy23,spoixbr,,34674,,1884,,26721,,3333,,4620,,1311,,13,,130,,165,,265,,
2022-05-03 00:00:00,asy24,spoixbr,32832,,1884,,27900,,629,,4303,,1378,,12,,75,,153,,266,,,
2022-05-02 00:00:00,asy23,amsix,,85999,,475,,53850,,1883,,30266,,196,,2,,86,,161,,30,,
2022-05-02 00:00:00,asy24,amsix,89962,,475,,71746,,5995,,12221,,278,,3,,16,,149,,29,,,
2022-05-02 00:00:00,asy23,linx,,63889,,442,,47635,,3551,,12703,,190,,6,,79,,132,,35,,
2022-05-02 00:00:00,asy24,linx,66112,,442,,59076,,4527,,2509,,230,,9,,24,,147,,32,,,
2022-05-02 00:00:00,asy23,poaixbr,,7942,,221,,6062,,76,,1804,,166,,2,,9,,26,,18,,
2022-05-02 00:00:00,asy24,poaixbr,7964,,221,,6295,,84,,1585,,176,,2,,3,,21,,19,,,
2022-05-02 00:00:00,asy23,six,,31282,,205,,27165,,1072,,3045,,90,,3,,15,,76,,21,,
2022-05-02 00:00:00,asy24,six,31262,,205,,27674,,1152,,2436,,99,,3,,10,,72,,21,,,
2022-05-02 00:00:00,asy23,spoixbr,,35010,,1884,,30005,,282,,4723,,1315,,10,,130,,162,,267,,
2022-05-02 00:00:00,asy24,spoixbr,36017,,1884,,31206,,603,,4208,,1369,,12,,77,,152,,274,,,
2022-05-01 00:00:00,asy23,amsix,,85977,,474,,54462,,1880,,29635,,194,,2,,88,,161,,29,,
2022-05-01 00:00:00,asy24,amsix,90137,,474,,71895,,5999,,12243,,277,,3,,15,,151,,28,,,
