source_address_asn;Organization;meta_destination_address;transmit_time;receive_time;send_receive_time_diff;ixp;type;date;file_type;filename
1916;RNP;132.255.98.1;1650357434822351442;1650357434894695916;72.344474;br-poa;sym;2022-04-19;br-poa /24;IXP-Asymmetry-24_PINGER-br-poa_DRAIN-nl-ens#ipv4,poa,ens_2022-04-19-08h29m.csv
1916;RNP;132.255.99.129;1650357434823606507;1650357434894815554;71.209047;br-poa;sym;2022-04-19;br-poa /24;IXP-Asymmetry-24_PINGER-br-poa_DRAIN-nl-ens#ipv4,poa,ens_2022-04-19-08h29m.csv
1916;RNP;138.121.68.254;1650357439731090425;1650357439803938450;72.848025;br-poa;sym;2022-04-19;br-poa /24;IXP-Asymmetry-24_PINGER-br-poa_DRAIN-nl-ens#ipv4,poa,ens_2022-04-19-08h29m.csv
1916;RNP;138.121.69.254;1650357439731142298;1650357439804335586;73.193288;br-poa;sym;2022-04-19;br-poa /24;IXP-Asymmetry-24_PINGER-br-poa_DRAIN-nl-ens#ipv4,poa,ens_2022-04-19-08h29m.csv
1916;RNP;138.121.70.254;1650357439731187608;1650357439804873089;73.685481;br-poa;sym;2022-04-19;br-poa /24;IXP-Asymmetry-24_PINGER-br-poa_DRAIN-nl-ens#ipv4,poa,ens_2022-04-19-08h29m.csv
1916;RNP;138.121.71.254;1650357439731236878;1650357439805483877;74.246999;br-poa;sym;2022-04-19;br-poa /24;IXP-Asymmetry-24_PINGER-br-poa_DRAIN-nl-ens#ipv4,poa,ens_2022-04-19-08h29m.csv
1916;RNP;146.134.1.105;1650357448192945411;1650357448219009058;26.063647;br-poa;sym;2022-04-19;br-poa /24;IXP-Asymmetry-24_PINGER-br-poa_DRAIN-nl-ens#ipv4,poa,ens_2022-04-19-08h29m.csv
1916;RNP;146.134.24.254;1650357448193809083;1650357448219712733;25.90365;br-poa;sym;2022-04-19;br-poa /24;IXP-Asymmetry-24_PINGER-br-poa_DRAIN-nl-ens#ipv4,poa,ens_2022-04-19-08h29m.csv
1916;RNP;150.163.80.254;1650357452417303465;1650357452435689742;18.386277;br-poa;sym;2022-04-19;br-poa /24;IXP-Asymmetry-24_PINGER-br-poa_DRAIN-nl-ens#ipv4,poa,ens_2022-04-19-08h29m.csv
1916;RNP;150.163.102.3;1650357452417357676;1650357452437185876;19.8282;br-poa;sym;2022-04-19;br-poa /24;IXP-Asymmetry-24_PINGER-br-poa_DRAIN-nl-ens#ipv4,poa,ens_2022-04-19-08h29m.csv
1916;RNP;150.163.105.25;1650357452417423978;1650357452437206459;19.782481;br-poa;sym;2022-04-19;br-poa /24;IXP-Asymmetry-24_PINGER-br-poa_DRAIN-nl-ens#ipv4,poa,ens_2022-04-19-08h29m.csv
1916;RNP;150.163.128.158;1650357452417481642;1650357452437509386;20.027744;br-poa;sym;2022-04-19;br-poa /24;IXP-Asymmetry-24_PINGER-br-poa_DRAIN-nl-ens#ipv4,poa,ens_2022-04-19-08h29m.csv
1916;RNP;150.163.142.161;1650357452417754679;1650357452437525755;19.771076;br-poa;sym;2022-04-19;br-poa /24;IXP-Asymmetry-24_PINGER-br-poa_DRAIN-nl-ens#ipv4,poa,ens_2022-04-19-08h29m.csv
1916;RNP;150.163.141.175;1650357452417704436;1650357452437827579;20.123143;br-poa;sym;2022-04-19;br-poa /24;IXP-Asymmetry-24_PINGER-br-poa_DRAIN-nl-ens#ipv4,poa,ens_2022-04-19-08h29m.csv
1916;RNP;150.163.149.220;1650357452418184032;1650357452438451760;20.267728;br-poa;sym;2022-04-19;br-poa /24;IXP-Asymmetry-24_PINGER-br-poa_DRAIN-nl-ens#ipv4,poa,ens_2022-04-19-08h29m.csv
1916;RNP;150.163.200.252;1650357452419073976;1650357452439073084;19.999108;br-poa;sym;2022-04-19;br-poa /24;IXP-Asymmetry-24_PINGER-br-poa_DRAIN-nl-ens#ipv4,poa,ens_2022-04-19-08h29m.csv
1916;RNP;150.163.184.254;1650357452418609878;1650357452439210398;20.60052;br-poa;sym;2022-04-19;br-poa /24;IXP-Asymmetry-24_PINGER-br-poa_DRAIN-nl-ens#ipv4,poa,ens_2022-04-19-08h29m.csv
1916;RNP;150.163.186.254;1650357452418713523;1650357452439365732;20.652209;br-poa;sym;2022-04-19;br-poa /24;IXP-Asymmetry-24_PINGER-br-poa_DRAIN-nl-ens#ipv4,poa,ens_2022-04-19-08h29m.csv
1916;RNP;150.163.185.254;1650357452418661175;1650357452439522223;20.861048;br-poa;sym;2022-04-19;br-poa /24;IXP-Asymmetry-24_PINGER-br-poa_DRAIN-nl-ens#ipv4,poa,ens_2022-04-19-08h29m.csv
1916;RNP;150.163.188.254;1650357452418835489;1650357452439680554;20.845065;br-poa;sym;2022-04-19;br-poa /24;IXP-Asymmetry-24_PINGER-br-poa_DRAIN-nl-ens#ipv4,poa,ens_2022-04-19-08h29m.csv
1916;RNP;150.163.189.254;1650357452418890362;1650357452439714085;20.823723;br-poa;sym;2022-04-19;br-poa /24;IXP-Asymmetry-24_PINGER-br-poa_DRAIN-nl-ens#ipv4,poa,ens_2022-04-19-08h29m.csv
1916;RNP;150.163.190.254;1650357452418956838;1650357452439787758;20.83092;br-poa;sym;2022-04-19;br-poa /24;IXP-Asymmetry-24_PINGER-br-poa_DRAIN-nl-ens#ipv4,poa,ens_2022-04-19-08h29m.csv
1916;RNP;150.163.255.254;1650357452420944139;1650357452440712021;19.767882;br-poa;sym;2022-04-19;br-poa /24;IXP-Asymmetry-24_PINGER-br-poa_DRAIN-nl-ens#ipv4,poa,ens_2022-04-19-08h29m.csv
1916;RNP;150.161.9.254;1650357452390357529;1650357452460918955;70.561426;br-poa;sym;2022-04-19;br-poa /24;IXP-Asymmetry-24_PINGER-br-poa_DRAIN-nl-ens#ipv4,poa,ens_2022-04-19-08h29m.csv
1916;RNP;150.161.43.11;1650357452390551761;1650357452460964863;70.413102;br-poa;sym;2022-04-19;br-poa /24;IXP-Asymmetry-24_PINGER-br-poa_DRAIN-nl-ens#ipv4,poa,ens_2022-04-19-08h29m.csv
1916;RNP;150.161.30.190;1650357452390485687;1650357452461131455;70.645768;br-poa;sym;2022-04-19;br-poa /24;IXP-Asymmetry-24_PINGER-br-poa_DRAIN-nl-ens#ipv4,poa,ens_2022-04-19-08h29m.csv
1916;RNP;150.161.52.9;1650357452390716922;1650357452461142643;70.425721;br-poa;sym;2022-04-19;br-poa /24;IXP-Asymmetry-24_PINGER-br-poa_DRAIN-nl-ens#ipv4,poa,ens_2022-04-19-08h29m.csv
1916;RNP;150.161.44.16;1650357452390601054;1650357452461222399;70.621345;br-poa;sym;2022-04-19;br-poa /24;IXP-Asymmetry-24_PINGER-br-poa_DRAIN-nl-ens#ipv4,poa,ens_2022-04-19-08h29m.csv
1916;RNP;150.161.69.254;1650357452390781764;1650357452461296881;70.515117;br-poa;sym;2022-04-19;br-poa /24;IXP-Asymmetry-24_PINGER-br-poa_DRAIN-nl-ens#ipv4,poa,ens_2022-04-19-08h29m.csv
1916;RNP;150.161.100.245;1650357452390997251;1650357452461833859;70.836608;br-poa;sym;2022-04-19;br-poa /24;IXP-Asymmetry-24_PINGER-br-poa_DRAIN-nl-ens#ipv4,poa,ens_2022-04-19-08h29m.csv
1916;RNP;150.161.192.23;1650357452392367916;1650357452464121785;71.753869;br-poa;sym;2022-04-19;br-poa /24;IXP-Asymmetry-24_PINGER-br-poa_DRAIN-nl-ens#ipv4,poa,ens_2022-04-19-08h29m.csv
1916;RNP;150.161.7.254;1650357452390164907;1650357452465100089;74.935182;br-poa;sym;2022-04-19;br-poa /24;IXP-Asymmetry-24_PINGER-br-poa_DRAIN-nl-ens#ipv4,poa,ens_2022-04-19-08h29m.csv
1916;RNP;150.161.10.15;1650357452390416195;1650357452465468374;75.052179;br-poa;sym;2022-04-19;br-poa /24;IXP-Asymmetry-24_PINGER-br-poa_DRAIN-nl-ens#ipv4,poa,ens_2022-04-19-08h29m.csv
1916;RNP;150.161.110.126;1650357452391049832;1650357452465600921;74.551089;br-poa;sym;2022-04-19;br-poa /24;IXP-Asymmetry-24_PINGER-br-poa_DRAIN-nl-ens#ipv4,poa,ens_2022-04-19-08h29m.csv
1916;RNP;150.165.9.254;1650357452445425911;1650357452512957542;67.531631;br-poa;sym;2022-04-19;br-poa /24;IXP-Asymmetry-24_PINGER-br-poa_DRAIN-nl-ens#ipv4,poa,ens_2022-04-19-08h29m.csv
1916;RNP;150.165.15.126;1650357452445601705;1650357452512982349;67.380644;br-poa;sym;2022-04-19;br-poa /24;IXP-Asymmetry-24_PINGER-br-poa_DRAIN-nl-ens#ipv4,poa,ens_2022-04-19-08h29m.csv
1916;RNP;150.165.11.250;1650357452445531458;1650357452512987535;67.456077;br-poa;sym;2022-04-19;br-poa /24;IXP-Asymmetry-24_PINGER-br-poa_DRAIN-nl-ens#ipv4,poa,ens_2022-04-19-08h29m.csv
1916;RNP;150.165.10.254;1650357452445478816;1650357452513320919;67.842103;br-poa;sym;2022-04-19;br-poa /24;IXP-Asymmetry-24_PINGER-br-poa_DRAIN-nl-ens#ipv4,poa,ens_2022-04-19-08h29m.csv
1916;RNP;150.165.111.252;1650357452446375770;1650357452513615188;67.239418;br-poa;sym;2022-04-19;br-poa /24;IXP-Asymmetry-24_PINGER-br-poa_DRAIN-nl-ens#ipv4,poa,ens_2022-04-19-08h29m.csv
1916;RNP;150.165.85.250;1650357452446291282;1650357452514008822;67.71754;br-poa;sym;2022-04-19;br-poa /24;IXP-Asymmetry-24_PINGER-br-poa_DRAIN-nl-ens#ipv4,poa,ens_2022-04-19-08h29m.csv
